2020-12-01;16:35:46;10
2020-12-01;16:35:47;11
2020-12-01;16:35:48;24
2020-12-01;16:35:49;17
2020-12-01;16:35:50;11
2020-12-01;16:35:51;13
2020-12-01;16:35:52;20
2020-12-01;16:35:53;20
2020-12-01;16:35:54;24
2020-12-01;16:35:55;20
2020-12-01;16:35:56;10
2020-12-01;16:35:57;13
2020-12-01;16:51:13;19
2020-12-01;16:51:14;16
2020-12-01;16:51:15;25
2020-12-01;16:51:16;11
2020-12-01;16:55:13;22
2020-12-01;16:55:14;17
2020-12-01;16:55:15;21
2020-12-01;16:57:05;20
2020-12-01;16:57:06;22
2020-12-01;16:57:07;25
2020-12-01;16:57:08;15
2020-12-01;16:57:09;11
2020-12-01;16:57:10;15
2020-12-01;16:57:19;13
2020-12-01;16:57:20;23
2020-12-01;16:57:21;15
2020-12-01;16:57:22;14
2020-12-01;16:57:23;23
2020-12-01;16:57:24;20
2020-12-01;16:57:25;17
2020-12-01;16:57:26;23
2020-12-01;16:57:27;11
2020-12-01;16:57:28;14
2020-12-01;16:57:29;15
2020-12-01;16:57:30;11
2020-12-01;17:02:00;11
2020-12-01;17:02:01;18
2020-12-01;17:02:02;13
2020-12-01;17:02:03;10
2020-12-01;17:02:04;19
2020-12-01;17:02:05;24
2020-12-01;17:02:06;23
2020-12-01;17:02:07;17
2020-12-01;17:02:08;19
2020-12-01;17:02:09;12
2020-12-01;17:02:10;12
2020-12-01;17:02:11;19
2020-12-01;17:04:11;14
2020-12-01;17:04:12;23
2020-12-01;17:04:13;24
2020-12-01;17:04:14;24
2020-12-01;17:04:15;24
2020-12-01;17:04:40;21
2020-12-01;17:04:41;23
2020-12-01;17:04:42;14
2020-12-01;17:04:51;22
2020-12-01;17:04:52;12
2020-12-01;17:04:53;18
2020-12-01;17:04:54;19
2020-12-01;17:04:55;25
2020-12-01;17:04:56;18
2020-12-01;17:04:57;21
2020-12-01;17:04:58;10
2020-12-01;17:04:59;19
2020-12-01;17:05:00;15
2020-12-04;11:59:59;25
2020-12-04;12:00:00;11
2020-12-04;12:00:01;14
2020-12-04;12:00:02;24
2020-12-04;12:00:03;11
2020-12-04;12:00:04;20
2020-12-04;12:00:05;12
2020-12-04;12:00:06;16
2020-12-04;12:00:07;16
2020-12-04;12:00:08;19
2020-12-04;12:00:09;14
2020-12-04;12:00:10;22
2020-12-04;12:00:11;20
2020-12-04;12:00:12;16
2020-12-04;12:00:13;23
2020-12-04;12:00:14;10
2020-12-04;12:00:15;21
2020-12-04;12:00:16;23
2020-12-04;12:00:17;17
2020-12-04;12:00:18;14
2020-12-04;12:00:19;19
2020-12-04;12:00:20;13
2020-12-04;12:00:21;24
2020-12-04;12:00:22;11
2020-12-04;12:00:23;15
2020-12-04;12:00:24;20
2020-12-04;12:00:25;19
2020-12-04;12:00:26;23
2020-12-04;12:00:27;16
2020-12-04;12:00:28;19
2020-12-04;12:00:29;13
2020-12-04;12:00:30;13
2020-12-04;12:00:31;12
2020-12-04;12:00:32;12
2020-12-04;12:00:33;20
2020-12-04;12:00:34;13
2020-12-04;12:00:35;14
2020-12-04;12:00:36;15
2020-12-04;12:00:37;12
2020-12-04;12:00:38;10
2020-12-04;12:00:39;16
2020-12-04;12:00:40;16
2020-12-04;12:00:41;12
2020-12-04;12:00:42;18
2020-12-04;12:00:43;20
2020-12-04;12:00:44;14
2020-12-04;12:00:45;19
2020-12-04;12:00:46;23
2020-12-04;12:00:47;14
2020-12-04;12:00:48;22
2020-12-04;12:00:49;20
2020-12-04;12:00:50;18
2020-12-04;12:00:51;11
2020-12-04;12:00:52;18
2020-12-04;12:00:53;24
2020-12-04;12:00:54;10
2020-12-04;12:00:55;24
2020-12-04;12:00:56;19
2020-12-04;12:00:57;19
2020-12-04;12:00:58;25
2020-12-04;12:00:59;15
2020-12-04;12:01:00;11
2020-12-04;12:01:01;16
2020-12-04;12:01:02;18
2020-12-04;12:01:03;24
2020-12-04;12:01:04;11
2020-12-04;12:01:05;19
2020-12-04;12:01:06;18
2020-12-04;12:01:07;16
2020-12-04;12:01:08;12
2020-12-04;12:01:09;11
2020-12-04;12:01:10;21
2020-12-04;12:01:11;10
